End of porgram! | World Size: 2
ADD -- numofItems: 100 | Time/Node: 0.006974 
ADD -- numofItems: 250 | Time/Node: 0.046060 
ADD -- numofItems: 500 | Time/Node: 0.142005 
ADD -- numofItems: 750 | Time/Node: 0.257702 
ADD -- numofItems: 1000 | Time/Node: 0.400620 
ADD -- numofItems: 1500 | Time/Node: 0.721550 
ADD -- numofItems: 2000 | Time/Node: 1.241600 
ADD -- numofItems: 2500 | Time/Node: 1.853416 
ADD -- numofItems: 3000 | Time/Node: 2.801916 
ADD -- numofItems: 3500 | Time/Node: 3.825971 
ADD -- numofItems: 4000 | Time/Node: 4.700763 
ADD -- numofItems: 4500 | Time/Node: 5.898612 
ADD -- numofItems: 5000 | Time/Node: 7.272798 
SUBTRACT -- numofItems: 100 | Time/Node: 0.003004 
SUBTRACT -- numofItems: 250 | Time/Node: 0.018785 
SUBTRACT -- numofItems: 500 | Time/Node: 0.078482 
SUBTRACT -- numofItems: 750 | Time/Node: 0.175898 
SUBTRACT -- numofItems: 1000 | Time/Node: 0.308871 
SUBTRACT -- numofItems: 1500 | Time/Node: 0.680315 
SUBTRACT -- numofItems: 2000 | Time/Node: 1.187772 
SUBTRACT -- numofItems: 2500 | Time/Node: 1.842628 
SUBTRACT -- numofItems: 3000 | Time/Node: 2.760530 
SUBTRACT -- numofItems: 3500 | Time/Node: 3.748701 
SUBTRACT -- numofItems: 4000 | Time/Node: 4.676445 
SUBTRACT -- numofItems: 4500 | Time/Node: 5.897908 
SUBTRACT -- numofItems: 5000 | Time/Node: 7.269545 
INNERPROD -- numofItems: 100 | Time/Node: 0.000097 
INNERPROD -- numofItems: 250 | Time/Node: 0.000084 
INNERPROD -- numofItems: 500 | Time/Node: 0.000148 
INNERPROD -- numofItems: 750 | Time/Node: 0.000211 
INNERPROD -- numofItems: 1000 | Time/Node: 0.000288 
INNERPROD -- numofItems: 1500 | Time/Node: 0.000417 
INNERPROD -- numofItems: 2000 | Time/Node: 0.000537 
INNERPROD -- numofItems: 2500 | Time/Node: 0.000660 
INNERPROD -- numofItems: 3000 | Time/Node: 0.000791 
INNERPROD -- numofItems: 3500 | Time/Node: 0.000917 
INNERPROD -- numofItems: 4000 | Time/Node: 0.001071 
INNERPROD -- numofItems: 4500 | Time/Node: 0.001181 
INNERPROD -- numofItems: 5000 | Time/Node: 0.001356 
MULTIPLY -- numofItems: 100 | Time/Node: 0.179765 
MULTIPLY -- numofItems: 250 | Time/Node: 1.414639 
MULTIPLY -- numofItems: 500 | Time/Node: 7.195765 
MULTIPLY -- numofItems: 750 | Time/Node: 28.296836 
MULTIPLY -- numofItems: 1000 | Time/Node: 52.420705 
MULTIPLY -- numofItems: 1500 | Time/Node: 191.687122 
MULTIPLY -- numofItems: 2000 | Time/Node: 371.005780 
MULTIPLY -- numofItems: 2500 | Time/Node: 791.897711 
MULTIPLY -- numofItems: 3000 | Time/Node: 1187.039922 
MULTIPLY -- numofItems: 3500 | Time/Node: 2188.766481 
MULTIPLY -- numofItems: 4000 | Time/Node: 3097.487705 
MULTIPLY -- numofItems: 4500 | Time/Node: 4669.479692 
MULTIPLY -- numofItems: 5000 | Time/Node: 5409.287411 
GAUSSJORDAN -- numofItems: 100 | Time/Node: 0.019461 
GAUSSJORDAN -- numofItems: 250 | Time/Node: 0.220962 
GAUSSJORDAN -- numofItems: 500 | Time/Node: 2.160864 
GAUSSJORDAN -- numofItems: 750 | Time/Node: 8.611372 
GAUSSJORDAN -- numofItems: 1000 | Time/Node: 25.903995 
GAUSSJORDAN -- numofItems: 1500 | Time/Node: 90.877752 
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 3018 ON hpcl6-2 CANCELLED AT 2020-10-18T01:26:38 DUE TO TIME LIMIT ***
slurmstepd: error: *** STEP 3018.0 ON hpcl6-2 CANCELLED AT 2020-10-18T01:26:38 DUE TO TIME LIMIT ***
