End of porgram! | World Size: 1
ADD -- numofItems: 100 | Time/Node: 0.004356 
ADD -- numofItems: 250 | Time/Node: 0.029018 
ADD -- numofItems: 500 | Time/Node: 0.111500 
ADD -- numofItems: 750 | Time/Node: 0.149713 
ADD -- numofItems: 1000 | Time/Node: 0.251749 
ADD -- numofItems: 1500 | Time/Node: 0.439527 
ADD -- numofItems: 2000 | Time/Node: 0.743068 
ADD -- numofItems: 2500 | Time/Node: 1.149751 
ADD -- numofItems: 3000 | Time/Node: 1.508389 
ADD -- numofItems: 3500 | Time/Node: 2.041153 
ADD -- numofItems: 4000 | Time/Node: 2.872513 
ADD -- numofItems: 4500 | Time/Node: 3.350275 
ADD -- numofItems: 5000 | Time/Node: 4.468678 
SUBTRACT -- numofItems: 100 | Time/Node: 0.001781 
SUBTRACT -- numofItems: 250 | Time/Node: 0.010710 
SUBTRACT -- numofItems: 500 | Time/Node: 0.044561 
SUBTRACT -- numofItems: 750 | Time/Node: 0.102162 
SUBTRACT -- numofItems: 1000 | Time/Node: 0.180605 
SUBTRACT -- numofItems: 1500 | Time/Node: 0.395085 
SUBTRACT -- numofItems: 2000 | Time/Node: 0.740455 
SUBTRACT -- numofItems: 2500 | Time/Node: 1.149337 
SUBTRACT -- numofItems: 3000 | Time/Node: 1.507581 
SUBTRACT -- numofItems: 3500 | Time/Node: 2.088217 
SUBTRACT -- numofItems: 4000 | Time/Node: 3.200187 
SUBTRACT -- numofItems: 4500 | Time/Node: 3.750927 
SUBTRACT -- numofItems: 5000 | Time/Node: 5.026886 
INNERPROD -- numofItems: 100 | Time/Node: 0.000079 
INNERPROD -- numofItems: 250 | Time/Node: 0.000069 
INNERPROD -- numofItems: 500 | Time/Node: 0.000112 
INNERPROD -- numofItems: 750 | Time/Node: 0.000124 
INNERPROD -- numofItems: 1000 | Time/Node: 0.000168 
INNERPROD -- numofItems: 1500 | Time/Node: 0.000257 
INNERPROD -- numofItems: 2000 | Time/Node: 0.000311 
INNERPROD -- numofItems: 2500 | Time/Node: 0.000393 
INNERPROD -- numofItems: 3000 | Time/Node: 0.000458 
INNERPROD -- numofItems: 3500 | Time/Node: 0.000534 
INNERPROD -- numofItems: 4000 | Time/Node: 0.000828 
INNERPROD -- numofItems: 4500 | Time/Node: 0.000942 
INNERPROD -- numofItems: 5000 | Time/Node: 0.001039 
MULTIPLY -- numofItems: 100 | Time/Node: 0.059421 
MULTIPLY -- numofItems: 250 | Time/Node: 0.588531 
MULTIPLY -- numofItems: 500 | Time/Node: 3.756783 
MULTIPLY -- numofItems: 750 | Time/Node: 13.027684 
MULTIPLY -- numofItems: 1000 | Time/Node: 31.929287 
MULTIPLY -- numofItems: 1500 | Time/Node: 121.363612 
MULTIPLY -- numofItems: 2000 | Time/Node: 238.989924 
MULTIPLY -- numofItems: 2500 | Time/Node: 541.499312 
MULTIPLY -- numofItems: 3000 | Time/Node: 783.701056 
MULTIPLY -- numofItems: 3500 | Time/Node: 1475.621018 
MULTIPLY -- numofItems: 4000 | Time/Node: 6135.795040 
MULTIPLY -- numofItems: 4500 | Time/Node: 8385.509673 
srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** JOB 3017 ON hpcl6-2 CANCELLED AT 2020-10-18T01:26:08 DUE TO TIME LIMIT ***
slurmstepd: error: *** STEP 3017.0 ON hpcl6-2 CANCELLED AT 2020-10-18T01:26:08 DUE TO TIME LIMIT ***
